iter	Passed	Remaining
0	0	83
1	1	54
2	1	38
3	1	30
4	1	27
5	1	24
6	2	33
7	2	30
8	2	27
9	2	25
10	2	24
11	3	22
12	3	21
13	3	20
14	3	19
15	3	18
16	3	17
17	3	17
18	3	16
19	4	16
20	4	16
21	4	15
22	4	15
23	4	14
24	4	14
25	4	14
26	5	13
27	5	13
28	5	13
29	5	12
30	5	12
31	5	12
32	5	11
33	6	11
34	6	11
35	6	11
36	6	10
37	6	10
38	6	10
39	6	10
40	7	10
41	7	9
42	7	9
43	7	9
44	7	9
45	7	9
46	7	8
47	8	8
48	8	8
49	8	8
50	8	8
51	8	8
52	8	7
53	9	7
54	9	7
55	9	7
56	9	7
57	9	7
58	9	6
59	9	6
60	10	6
61	10	6
62	10	6
63	10	5
64	10	5
65	10	5
66	11	5
67	11	5
68	11	5
69	11	4
70	11	4
71	11	4
72	11	4
73	11	4
74	12	4
75	12	3
76	12	3
77	12	3
78	12	3
79	12	3
80	12	2
81	12	2
82	12	2
83	12	2
84	13	2
85	13	2
86	13	1
87	13	1
88	13	1
89	13	1
90	13	1
91	13	1
92	13	1
93	14	0
94	14	0
95	14	0
96	14	0
97	14	0
98	14	0
99	14	0
