iter	RMSE
0	10.0606683
1	9.452321903
2	8.9380566
3	8.465288065
4	7.961173899
5	7.465059842
6	7.034596826
7	6.62860256
8	6.263358607
9	5.906288635
10	5.573143843
11	5.272704057
12	5.019344297
13	4.752818901
14	4.526162256
15	4.27280558
16	4.042000843
17	3.841297736
18	3.643484398
19	3.459284541
20	3.293715507
21	3.152510363
22	2.993956215
23	2.861207909
24	2.730125843
25	2.602805946
26	2.491859317
27	2.383993452
28	2.293101029
29	2.19655032
30	2.120564229
31	2.029874623
32	1.955328983
33	1.875059581
34	1.80123648
35	1.728333135
36	1.666683708
37	1.607351591
38	1.552091614
39	1.504073763
40	1.456057201
41	1.421694788
42	1.376241181
43	1.336066371
44	1.298487401
45	1.265182552
46	1.235065945
47	1.206434585
48	1.173516925
49	1.149098496
50	1.122277144
51	1.097827177
52	1.076926952
53	1.056182875
54	1.038354063
55	1.02116241
56	1.003175517
57	0.9871230961
58	0.9694478054
59	0.951862516
60	0.9338479353
61	0.9199401693
62	0.9037539491
63	0.885863589
64	0.8694100209
65	0.8570359923
66	0.8423336939
67	0.8273366943
68	0.8134858859
69	0.8005005257
70	0.7887225775
71	0.7806663481
72	0.7718747164
73	0.7617720961
74	0.7504914361
75	0.7386230221
76	0.7340434082
77	0.7263508696
78	0.7188227733
79	0.7125036426
80	0.7045345606
81	0.7008599719
82	0.6931908907
83	0.6874302033
84	0.6814860411
85	0.6774353854
86	0.6695884376
87	0.6639754317
88	0.6581951963
89	0.6544157348
90	0.6494422898
91	0.6438421815
92	0.6412881218
93	0.6350826011
94	0.6296088599
95	0.6233326604
96	0.6180780011
97	0.6119208937
98	0.6071282302
99	0.6024137894
100	0.6002451568
101	0.5954984827
102	0.5897633757
103	0.5842400144
104	0.5820111735
105	0.576784399
106	0.5733545865
107	0.5682800397
108	0.5637777295
109	0.5600084277
110	0.5578578632
111	0.555085929
112	0.5531827835
113	0.5505705189
114	0.5452175972
115	0.5403163055
116	0.5382642666
117	0.5362535555
118	0.5342999844
119	0.5323781168
120	0.5305165195
121	0.528499287
122	0.5266750956
123	0.5249359146
124	0.5231707022
125	0.5210564201
126	0.5193951422
127	0.517606396
128	0.5141558038
129	0.5110866544
130	0.5079493498
131	0.5047539408
132	0.502862104
133	0.5010963257
134	0.4981665283
135	0.4948567814
136	0.4928477102
137	0.4912931328
138	0.4888235152
139	0.487896766
140	0.4870153215
141	0.4854343489
142	0.4809311793
143	0.4793772767
144	0.4765543825
145	0.4757488464
146	0.4748166179
147	0.471455096
148	0.4682483164
149	0.4644532469
150	0.4625629817
151	0.4601394971
152	0.4588233167
153	0.4575409555
154	0.4543828034
155	0.4481315687
156	0.4457691691
157	0.4431815681
158	0.4402677362
159	0.436828195
160	0.4352841527
161	0.4329254546
162	0.4302674457
163	0.4282457229
164	0.4261607403
165	0.4238669455
166	0.4216159501
167	0.419830695
168	0.4178614308
169	0.4156393571
170	0.414077838
171	0.4120610277
172	0.4099802661
173	0.4087139016
174	0.4057155325
175	0.4027509375
176	0.4008976995
177	0.399033726
178	0.3973130286
179	0.3960828646
180	0.3940705233
181	0.3916244646
182	0.3892303962
183	0.3872394705
184	0.3860117034
185	0.3841490628
186	0.38247899
187	0.381018723
188	0.379217808
189	0.3780581872
190	0.3769159203
191	0.3749459175
192	0.3738049625
193	0.3727294129
194	0.3714642031
195	0.3699425861
196	0.3683266587
197	0.367300259
198	0.3655500545
199	0.363347439
