iter	Passed	Remaining
0	57	11409
1	57	5696
2	57	3787
3	57	2832
4	57	2259
5	58	1876
6	58	1604
7	58	1399
8	58	1239
9	58	1112
10	58	1008
11	58	921
12	58	846
13	59	785
14	59	730
15	59	682
16	59	641
17	59	603
18	59	569
19	59	539
20	60	511
21	60	486
22	60	464
23	60	443
24	60	423
25	60	406
26	60	389
27	60	374
28	61	360
29	61	346
30	61	333
31	61	322
32	61	311
33	61	300
34	61	291
35	61	281
36	62	273
37	62	264
38	62	256
39	62	249
40	62	242
41	62	235
42	62	228
43	62	222
44	62	216
45	63	211
46	63	205
47	63	200
48	63	195
49	63	191
50	63	186
51	63	181
52	64	177
53	64	173
54	64	169
55	64	165
56	64	162
57	64	158
58	64	154
59	64	151
60	65	148
61	65	145
62	65	142
63	65	139
64	65	136
65	65	133
66	65	130
67	66	128
68	66	125
69	66	123
70	66	120
71	66	118
72	66	116
73	66	113
74	67	111
75	67	109
76	67	107
77	67	105
78	67	103
79	67	101
80	67	99
81	67	97
82	68	95
83	68	94
84	68	92
85	68	90
86	68	88
87	68	87
88	68	85
89	68	84
90	69	82
91	69	81
92	69	79
93	69	78
94	69	76
95	69	75
96	69	74
97	69	72
98	69	71
99	70	70
100	70	68
101	70	67
102	70	66
103	70	65
104	70	63
105	70	62
106	70	61
107	71	60
108	71	59
109	71	58
110	71	57
111	71	56
112	71	55
113	71	54
114	71	53
115	71	52
116	72	51
117	72	50
118	72	49
119	72	48
120	72	47
121	72	46
122	72	45
123	72	44
124	73	43
125	73	42
126	73	42
127	73	41
128	73	40
129	73	39
130	73	38
131	73	37
132	73	37
133	74	36
134	74	35
135	74	34
136	74	34
137	74	33
138	74	32
139	74	32
140	74	31
141	74	30
142	75	29
143	75	29
144	75	28
145	75	27
146	75	27
147	75	26
148	75	25
149	75	25
150	76	24
151	76	24
152	76	23
153	76	22
154	76	22
155	76	21
156	76	21
157	76	20
158	76	19
159	77	19
160	77	18
161	77	18
162	77	17
163	77	17
164	77	16
165	77	15
166	77	15
167	78	14
168	78	14
169	78	13
170	78	13
171	78	12
172	78	12
173	78	11
174	78	11
175	78	10
176	79	10
177	79	9
178	79	9
179	79	8
180	79	8
181	79	7
182	79	7
183	79	6
184	80	6
185	80	6
186	80	5
187	80	5
188	80	4
189	80	4
190	80	3
191	80	3
192	81	2
193	81	2
194	81	2
195	81	1
196	81	1
197	81	0
198	81	0
199	81	0
