iter	RMSE
0	18.04191034
1	17.1189987
2	15.98470531
3	15.06982101
4	14.24855301
5	13.38476045
6	12.79339843
7	12.10851648
8	11.44713661
9	10.77511936
10	10.33968057
11	9.805258323
12	9.302230129
13	8.902400328
14	8.538142534
15	8.153357119
16	7.790858173
17	7.411210508
18	7.102257038
19	6.825784883
20	6.468582112
21	6.203508132
22	5.954425608
23	5.719942213
24	5.485218962
25	5.247901597
26	5.065439507
27	4.86662875
28	4.707241563
29	4.572621638
30	4.445168233
31	4.31465389
32	4.168184554
33	4.03510712
34	3.971633708
35	3.863610865
36	3.775138084
37	3.680754826
38	3.574346953
39	3.480135406
40	3.415534259
41	3.326124876
42	3.235906645
43	3.159217801
44	3.089626733
45	3.019244931
46	2.952965426
47	2.885813426
48	2.838332291
49	2.788604099
50	2.75165365
51	2.704089065
52	2.657758476
53	2.589339133
54	2.544657055
55	2.508365108
56	2.460793715
57	2.427039211
58	2.383590349
59	2.347559754
60	2.302639699
61	2.274771452
62	2.235913916
63	2.201546522
64	2.169193937
65	2.141580799
66	2.119457577
67	2.090512872
68	2.063918332
69	2.033608723
70	2.00893674
71	1.977067475
72	1.956064248
73	1.933281881
74	1.916307597
75	1.897236634
76	1.872557635
77	1.847030244
78	1.830488231
79	1.810109385
80	1.794984385
81	1.772179313
82	1.760691589
83	1.73791503
84	1.719749681
85	1.695009437
86	1.684755355
87	1.670648466
88	1.651586431
89	1.636040281
90	1.623513133
91	1.606925055
92	1.59438241
93	1.577766198
94	1.560252093
95	1.559142635
96	1.544474814
97	1.531619481
98	1.518432312
99	1.507594349
100	1.496372002
101	1.48043679
102	1.463068481
103	1.448678803
104	1.436127657
105	1.423692629
106	1.412373424
107	1.40216739
108	1.401512316
109	1.397438634
110	1.387149133
111	1.378683459
112	1.372103423
113	1.357948487
114	1.347844739
115	1.338775619
116	1.335044868
117	1.331766032
118	1.320507929
119	1.309706243
120	1.301860565
121	1.292112528
122	1.285850305
123	1.279797733
124	1.278019767
125	1.26919786
126	1.266999123
127	1.254134683
128	1.247236916
129	1.237930166
130	1.236686522
131	1.234530119
132	1.227960592
133	1.219147516
134	1.210110918
135	1.199144535
136	1.189600123
137	1.181615799
138	1.175677635
139	1.167055551
140	1.158778772
141	1.148911119
142	1.141857718
143	1.138818478
144	1.129729211
145	1.126864824
146	1.118782984
147	1.1077751
148	1.106687789
149	1.105566037
150	1.101388823
151	1.092445714
152	1.085270996
153	1.07493871
154	1.072935163
155	1.065422549
156	1.05694334
157	1.053261254
158	1.044522003
159	1.04024382
160	1.035308692
161	1.028745894
162	1.027872652
163	1.02736697
164	1.021958544
165	1.016892931
166	1.011252979
167	1.006550769
168	1.003544119
169	0.9960625617
170	0.9932088387
171	0.9879675043
172	0.9818534555
173	0.9772586523
174	0.9676892561
175	0.9652388631
176	0.9576708272
177	0.9496563199
178	0.948743876
179	0.943046307
180	0.939198784
181	0.9287554736
182	0.9260576854
183	0.9204462789
184	0.9190750818
185	0.914425709
186	0.9090680263
187	0.9052431678
188	0.9046280361
189	0.8988868268
190	0.8927306857
191	0.8888531096
192	0.8807541154
193	0.8798504528
194	0.8738595702
195	0.8651045836
196	0.8651044306
197	0.8615563319
198	0.8610618985
199	0.8562682147
