iter	Passed	Remaining
0	0	127
1	0	80
2	1	92
3	2	104
4	2	103
5	3	112
6	3	109
7	4	107
8	5	108
9	5	108
10	6	107
11	6	105
12	7	103
13	7	100
14	7	98
15	8	98
16	8	96
17	9	95
18	9	93
19	10	94
20	10	94
21	11	93
22	11	94
23	12	94
24	12	94
25	13	94
26	14	93
27	14	92
28	15	91
29	15	91
30	16	91
31	16	90
32	17	90
33	17	90
34	18	88
35	18	88
36	19	88
37	19	87
38	20	85
39	20	85
40	21	84
41	21	83
42	22	82
43	22	82
44	23	81
45	23	80
46	24	80
47	24	79
48	24	78
49	25	77
50	32	98
51	34	99
52	35	100
53	36	99
54	40	107
55	40	105
56	40	104
57	41	102
58	41	101
59	42	100
60	42	98
61	43	97
62	43	96
63	43	94
64	44	93
65	44	92
66	45	91
67	45	90
68	46	89
69	46	87
70	46	86
71	47	85
72	47	83
73	47	82
74	48	81
75	48	80
76	48	79
77	49	78
78	49	76
79	49	75
80	50	74
81	50	73
82	50	72
83	51	71
84	51	70
85	52	69
86	52	69
87	53	68
88	53	67
89	53	66
90	54	65
91	54	64
92	54	63
93	55	62
94	55	61
95	55	60
96	55	59
97	56	59
98	56	58
99	56	57
100	57	56
101	57	55
102	57	54
103	57	53
104	58	53
105	58	52
106	58	51
107	59	50
108	59	49
109	59	49
110	59	48
111	60	47
112	60	46
113	60	46
114	61	45
115	61	45
116	61	44
117	62	43
118	62	43
119	62	42
120	63	41
121	63	41
122	64	40
123	64	39
124	65	39
125	65	38
126	66	38
127	66	37
128	66	37
129	67	36
130	67	35
131	68	35
132	68	34
133	68	34
134	69	33
135	69	32
136	69	32
137	70	31
138	70	31
139	70	30
140	71	30
141	71	29
142	72	28
143	72	28
144	72	27
145	73	27
146	73	26
147	74	26
148	74	25
149	74	25
150	74	24
151	75	23
152	75	23
153	76	22
154	76	22
155	76	21
156	77	21
157	77	20
158	77	20
159	78	19
160	78	19
161	78	18
162	79	18
163	79	17
164	79	17
165	80	16
166	80	16
167	80	15
168	81	14
169	81	14
170	81	13
171	81	13
172	82	12
173	82	12
174	83	11
175	83	11
176	83	10
177	84	10
178	84	9
179	84	9
180	85	8
181	85	8
182	85	8
183	86	7
184	86	7
185	86	6
186	87	6
187	87	5
188	87	5
189	88	4
190	88	4
191	88	3
192	88	3
193	89	2
194	89	2
195	89	1
196	89	1
197	90	0
198	90	0
199	91	0
